Regulator	Target	Score	Overall_rank
GTF2I	80	0.3220838685173965	810
MYT1L	81	3.4270707296665393	49
KCNIP3	81	2.2694195123323033	92
FOXC2	81	1.0679084261278704	241
SP140L	81	0.4502814538542957	596
ZNF35	81	0.3922618086534367	665
POU6F2	82	1.2385650031512436	206
KCNIP3	82	1.21835008463682	210
ETV7	82	0.8594221365855734	299
SATB1	82	0.7008295039264445	378
MYT1	82	0.5710079847442783	474
MYT1L	82	0.5607706209480979	484
SOX1	82	0.4575223335827379	589
SLC2A4RG	82	0.43275817772460706	615
ZNF512	82	0.4101126606683634	641
THRA	82	0.3195947275889906	813
TAL1	83	1.1345246503693602	231
USF1	83	0.5700295424493685	475
ERG	83	0.5642477917582985	480
MAZ	83	0.39041016961965047	669
TEAD1	83	0.38582657675627186	675
ZBTB39	83	0.34550227581639387	746
E2F1	83	0.33963038728195794	768
MECOM	83	0.30905862330146117	841
FOXL1	84	1.0026112940486445	253
FOXS1	84	0.7900589960682919	333
FOXC2	84	0.7431703213412373	353
PBX1	84	0.7307947077699958	361
RUNX1	84	0.6721664687016401	394
ZNF774	84	0.6602029034667525	404
SNAI2	84	0.49822461787223443	545
ZBED3	84	0.47084740878853215	575
ZNF10	84	0.4193037427290992	627
SOX5	84	0.2801066530718946	924
ZHX2	84	0.2789042098833985	927
ZHX3	85	2.464520658984307	84
NR3C2	85	1.6918527465598645	141
NPAS3	85	1.4351050141683397	179
NR2E1	85	0.8063428586933898	322
KLF15	85	0.751158814947009	351
OSR1	85	0.6004037440334468	447
PKNOX1	85	0.28414230081814756	913
KLF6	86	2.838780756395846	68
NR4A3	86	1.9621114226029317	114
FOS	86	1.8914254856284536	120
JUNB	86	0.9062606943811836	278
CSRNP1	86	0.815285317194221	315
NR4A2	86	0.596557015328769	453
EGR1	86	0.5781658446862843	467
EGR3	86	0.46250344813567495	584
ZNF395	87	2.936770324988007	66
HSF4	87	1.0644226119628264	242
ZNF641	87	0.4976720968613682	547
CSRNP2	87	0.4943791965657682	548
ZNF713	87	0.35431522926104325	729
MYRFL	87	0.29093002179980476	891
ZNF727	88	1.537798964691984	159
ZGPAT	88	0.9855533064158152	260
CREB3L1	88	0.9628039238349838	264
SOX18	88	0.8089862726107638	321
ZNF521	88	0.7594299970994208	347
ZNF558	88	0.7183154465738687	370
ST18	88	0.5178916639027663	525
HOXB3	88	0.34324214747471876	756
ZNF563	88	0.3268915349075954	801
ZEB2	88	0.30001527723863536	864
ZNF891	89	2.6004573880347333	74
PBX1	89	1.5603680715860835	156
ZFP2	89	1.2008210704816473	216
ZBTB5	89	0.6729880232111585	393
ZNF782	89	0.4761798502942179	568
ZNF879	89	0.384063913434108	679
ZNF709	89	0.312229862930149	832
ZNF429	89	0.285472360598742	909
SOX8	90	2.498472628407644	81
MYT1	90	1.848015579642747	126
SOX6	90	1.2569316963938781	200
SOX1	90	0.7339103103414569	358
PKNOX2	90	0.4487892040622298	599
ASCL1	90	0.38186683073952526	683
MEIS3	90	0.3753699332267137	690
ZNF518B	91	0.9754994868018957	261
ZNF429	91	0.5360362447158977	510
ZNF470	91	0.3818505608951143	684
MYT1L	91	0.3616614998119867	718
IRF8	91	0.35157644790745696	735
